36;417;1-DECENE;140.27;206.9;443.7;615;2208.885;650;0.28;0.491;0.741;293;0;518.37;277.8;-124198.62;121100.98;38678.64;417
37;432;1-DODECENE;168.324;238;486.5;657;1854.2475;0;0;0.558;0.758;293;0;615.67;310.07;-165430.72;137970.56;42990.22;432
38;467;1-EICOSANOL;298.555;339;629;770;1215.9;0;0;0;0;0;0;0;0;-608016.5;-19423.04;65301.6;467
39;317;1-HEPTANOL;116.204;239.2;449.5;633;3039.75;435;0.25;0.56;0.822;293;1.7;1287;361.83;-331949.8;-120975.4;48139;317
40;306;1-HEPTENE;98.189;154.3;366.8;537.2;2837.1;440;0.28;0.358;0.697;293;0.3;368.69;214.32;-62329.54;95859.4;31101.98;306
41;451;1-HEXADECENE;224.432;277.3;558;717;1337.49;0;0;0.721;0.788;283;0;-4;4.32;-33488;3212671.28;-54907.762;451
42;276;1-HEXANOL;102.177;229.2;430.2;610;4053;381;0.3;0.56;0.819;293;1.8;1179.4;354.94;-317717.4;-135626.4;48557.6;276
43;251;1-HEXENE;84.162;133.3;336.6;504;3171.4725;350;0.26;0.285;0.673;293;0.4;357.43;197.74;-41692.56;87487.4;28297.36;251
44;349;1-METHYL-1-ETHYLCYCLOPENTANE;112.216;0;394.7;592;2989.0875;0;0;0.25;0;0;0;0;0;0;0;33655.44;349
45;380;1-METHYL-2-ETHYLBENZENE;120.195;192.3;438.3;651;3039.75;460;0.26;0.294;0.881;293;0;0;0;1213.94;131147.38;38887.94;380
46;404;1-METHYL-2-ISOPROPYLBENZENE;134.222;0;448.3;666;2938.425;0;0;0.279;0.861;293;0;0;0;-29302;0;38134.46;404
47;404;1-METHYL-2-ISOPROPYLBENZENE;134.222;0;451.5;670;2897.895;0;0;0.277;0.876;293;0;0;0;0;0;0;405
48;381;1-METHYL-3-ETHYLBENZENE;120.195;177.6;434.5;637;2837.1;490;0.26;0.36;0.865;293;0;8;0;0;-1925.56;30.1392;381
49;382;1-METHYL-4-ETHYLBENZENE;120.195;210.8;435.2;640;2938.425;470;0.26;0.322;0.861;293;0;463.17;266.08;-2051.14;126752.08;38427.48;382
50;406;1-METHYL-4-ISOPROPYLBENZENE;134.222;200;450.3;653;2826.9675;0;0;0.371;0.857;293;0;0;0;0;0;0;406
51;423;1-METHYLNAPHTHALENE;142.201;242.7;517.8;772;3566.64;445;0.25;0.334;1.02;293;0.5;862.89;361.76;116914.98;217797.58;46046;423
52;388;1-NONENE;126.243;191.8;420;592;2340.6075;580;0.28;0.43;0.745;273;0;471;258.92;-103561.64;112728.98;36334.48;388
53;462;1-OCTADECANOL;270.501;331;608;747;1418.55;0;0;0;0.812;332;1.7;0;0;-566742.54;-36208.9;0;462
54;459;1-OCTADECENE;252.486;290.8;588;739;1134.84;0;0;0.807;0.789;293;0;816.19;376.93;-289168.88;188411.86;54292.42;459
55;371;1-OCTANOL;130.231;257.7;468.4;58;3445.05;490;0.31;0.53;0.826;293;2;1312.1;369.97;-359996;-120138.2;50650.6;371
56;352;1-OCTENE;112.216;171.4;394.4;566.6;2624.3175;464;0.26;0.386;0.715;293;0.3;418.82;237.63;-82966.52;104273.26;33781.02;352
57;447;1-PENTADECENE;210.405;269.4;541.5;704;1459.08;0;0;0.682;0.791;273;0;-4;4.07;-33488;3093998.18;-51091.3858;447
58;226;1-PENTANOL;88.15;195;411;586;3850.35;326;0.26;0.58;0.815;293;1.7;1151.1;349.62;-298880.4;-146091.4;44371.6;226
59;206;1-PENTENE;70.135;107.9;303.1;464.7;4053;300;0.31;0.245;0.64;293;0.4;305.25;174.7;-20930;79157.26;25208.092;206
60;200;1-PENTYNE;68.119;167.5;313.3;493.4;4053;278;0.275;0.164;0.69;293;0.9;0;0;144417;210346.5;0;200
61;132;1-PROPANOL;44.097;85.5;231.1;369.8;4245.5175;203;0.281;0.152;0.582;231;0;222.67;133.41;-103896.52;-23483.46;18782.582;133
62;444;1-TERADECENE;196.378;260.3;524.3;689;1560.405;0;0;0.644;0.786;273;0;-4;3.75;-33488;2919693.14;-47424.0312;444
63;198;1-TRANS-3-PENTADIENE;68.119;185.7;315.2;496;3992.205;275;0.266;0.175;0.676;293;0.7;0;0;77859.6;146803.02;27041.56;198
64;439;1-TRIDECENE;182.351;250.1;505.9;674;1702.26;0;0;0.598;0.766;293;0;-4;3.47;-33488;2755057.76;-44410.9484;439
65;427;1-UNDECENE;154.297;224;465.8;637;1996.1025;0;0;0.518;0.751;293;0;566.26;294.89;-144835.6;129514.84;40897.22;427
66;274;2,2 DIMETHYL BUTANE;86.178;173.3;322.9;488.7;3080.28;359;0.272;0.231;0.649;293;0;438.44;226.67;-185649.1;-9627.8;26317.382;274
67;365;2,2,3 TRIMETHYLPETANE;114.232;160.9;383;563.4;2725.6425;436;0.254;0.297;0.716;293;0;474.57;257.61;-220225.46;17120.74;32022.9;365
68;420;2,2,3,3-TETRAMETHYLHEPTANE;142.286;0;433.5;623.1;2512.86;0;0;0.36;0;0;0;0;0;0;0;36376.34;420
69;394;2,2,3,3-TETRAMETHYLPENTANE;128.259;0;413.4;607.6;2735.775;0;0;0.279;0;0;0;0;0;-237346.2;34325.2;35287.98;394
